player_name,team,position,player_pick
Ryan Mathews,SDC,RB,18
Calvin Johnson,DET,WR,19
Miles Austin,DAL,WR,20
Roddy White,ATL,WR,21
Ryan Grant,GBP,RB,22
Tony Romo,DAL,QB,23
Matt Schaub,HOU,QB,24
Brandon Marshall,MIA,WR,25
Shonn Greene,NYJ,RB,26
Greg Jennings,GBP,WR,27
DeSean Jackson,PHI,WR,28
Cedric Benson,CIN,RB,29
Marques Colston,NOS,WR,30
Philip Rivers,SDC,QB,31
Jamaal Charles,KCC,RB,32
Pierre Thomas,NOS,RB,33
Anquan Boldin,BAL,WR,34
Dallas Clark,IND,TE,35
LeSean McCoy,PHI,RB,36
Antonio Gates,SDC,TE,37
Steve Smith,NYG,WR,38
Wes Welker,NEP,WR,39
Steve Smith,CAR,WR,40
Joseph Addai,IND,RB,41
Chris Wells,ARI,RB,42
Chad Ochocinco,CIN,WR,43
Knowshon Moreno,DEN,RB,44
Matt Forte,CHI,RB,45
Jahvid Best,DET,RB,46
Jermichael Finley,GBP,TE,47
Michael Crabtree,SFO,WR,48
Vernon Davis,SFO,TE,49
Jonathan Stewart,CAR,RB,50
Jason Witten,DAL,TE,51
Ronnie Brown,MIA,RB,52
Joe Flacco,BAL,QB,53
C.J. Spiller,BUF,RB,54
Mike Sims-Walker,JAC,WR,55
Dwayne Bowe,KCC,WR,56
Hakeem Nicks,NYG,WR,57
Percy Harvin,MIN,WR,58
Arian Foster,HOU,RB,59
Hines Ward,PIT,WR,60
Felix Jones,DAL,RB,61
Brent Celek,PHI,TE,62
Pierre Garcon,IND,WR,63
Kevin Kolb,PHI,QB,64
Tony Gonzalez,ATL,TE,65
Brett Favre,MIN,QB,66
Reggie Bush,NOS,RB,67
Matt Ryan,ATL,QB,68
Jay Cutler,CHI,QB,69
Donald Driver,GBP,WR,70
Carson Palmer,CIN,QB,71
Mike Wallace,PIT,WR,72
Marion Barber,DAL,RB,73
Terrell Owens,CIN,WR,74
Ahmad Bradshaw,NYG,RB,75
Eli Manning,NYG,QB,76
Jeremy Maclin,PHI,WR,77
Santana Moss,WAS,WR,78
Brandon Jacobs,NYG,RB,79
Dez Bryant,DAL,WR,80
Malcom Floyd,SDC,WR,81
Jerome Harrison,PHI,RB,82
Owen Daniels,HOU,TE,83
Ricky Williams,MIA,RB,84
Robert Meachem,NOS,WR,85
Johnny Knox,CHI,WR,86
Clinton Portis,WAS,RB,87
Justin Forsett,SEA,RB,88
Visanthe Shiancoe,MIN,TE,89
Carnell Williams,TBB,RB,90
Chris Cooley,WAS,TE,91
Donovan McNabb,WAS,QB,92
LaDainian Tomlinson,NYJ,RB,93
T.J. Houshmandzadeh,BAL,WR,94
Kellen Winslow,TBB,TE,95
Zach Miller,OAK,TE,96
Santonio Holmes,NYJ,WR,97
Michael Bush,OAK,RB,98
Braylon Edwards,NYJ,WR,99
Ben Roethlisberger,PIT,QB,100
Steve Breaston,ARI,WR,101
Matthew Stafford,DET,QB,102
Thomas Jones,KCC,RB,103
Derrick Mason,BAL,WR,104
Darren McFadden,OAK,RB,105
Donald Brown,IND,RB,106
Bernard Berrian,MIN,WR,107
Tim Hightower,ARI,RB,108
Lee Evans,BUF,WR,109
Devin Aromashodu,CHI,WR,110
Nate Kaeding,SDC,PK,111
Darren Sproles,SDC,RB,112
Chad Henne,MIA,QB,113
Eddie Royal,DEN,WR,114
Kenny Britt,TEN,WR,115
Heath Miller,PIT,TE,116
Jabar Gaffney,DEN,WR,117
Garrett Hartley,NOS,PK,118
Montario Hardesty,CLE,RB,119
Devin Hester,CHI,WR,120
Fred Jackson,BUF,RB,121
Mike Williams,TBB,WR,122
Vince Young,TEN,QB,123
Steve Slaton,HOU,RB,124
Laurence Maroney,DEN,RB,125
Mark Sanchez,NYJ,QB,126
Alex Smith,SFO,QB,127
Stephen Gostkowski,NEP,PK,128
Mason Crosby,GBP,PK,129
Chester Taylor,CHI,RB,130
Austin Collie,IND,WR,131
John Carlson,SEA,TE,132
Ryan Longwell,MIN,PK,133
Mohamed Massaquoi,CLE,WR,134
Jacoby Jones,HOU,WR,135
Greg Olsen,CHI,TE,136
Jeremy Shockey,NOS,TE,137
David Akers,PHI,PK,138
Dustin Keller,NYJ,TE,139
Willis McGahee,BAL,RB,140
Matt Cassel,KCC,QB,141
Leon Washington,SEA,RB,142
Kyle Orton,DEN,QB,143
Jerricho Cotchery,NYJ,WR,144
Rob Bironas,TEN,PK,145
Jermaine Gresham,CIN,TE,146
Dexter McCluster,KCC,WR,147
Laurent Robinson,STL,WR,148
Julian Edelman,NEP,WR,149
Anthony Gonzalez,IND,WR,150
David Garrard,JAC,QB,151
Demaryius Thomas,DEN,WR,152
Sam Bradford,STL,QB,153
Nate Burleson,DET,WR,154
